Time,header.seq,header.stamp.secs,header.stamp.nsecs,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1678956321,1035,1678956321,203032000,0.227056533,0.58968854,-0.534637451,-0.234559715,0.749122262,0.35557431,0.507311046,-0.060818084,-0.042098988,0.01262245,0.008942612,0.033600111,-0.07023111
1678956321,1036,1678956321,238011000,0.226186931,0.588579655,-0.533262372,-0.23312524,0.749854028,0.354586929,0.507582307,-0.103312261,-0.13211,0.038439494,0.022342443,0.036223356,-0.109153062
1678956321,1037,1678956321,280906000,0.22715123,0.588126421,-0.532601833,-0.230349034,0.750509739,0.354122311,0.508204579,-0.034391336,-0.055536527,0.022566877,0.047455624,0.03077006,-0.191957653
1678956321,1038,1678956321,332345000,0.226336241,0.585497499,-0.531910956,-0.226532698,0.750072002,0.356119812,0.509169579,-0.023025027,-0.098033272,0.028518546,0.177473962,0.048024997,-0.079041198
1678956321,1039,1678956321,384185000,0.229215667,0.58285147,-0.531778216,-0.222345859,0.749001682,0.360655129,0.509398401,0.010384033,-0.096255898,0.037568491,0.2634812,0.111201078,-0.076020956
1678956321,1040,1678956321,431209000,0.23331438,0.582716763,-0.531961739,-0.216179937,0.748122811,0.367833287,0.508209884,0.053650089,-0.051675208,0.061544824,0.303178191,0.203501925,-0.034158289
1678956321,1041,1678956321,485152000,0.236038193,0.581078291,-0.527680755,-0.210151464,0.748158276,0.373118222,0.506831765,0.050828151,-0.036622524,0.091622122,0.267030865,0.190458462,-0.070199788
1678956322,1042,1678956321,499522000,0.236867219,0.583359003,-0.523703456,-0.207126021,0.74809587,0.375674993,0.506280303,0.052689098,0.028102603,0.092802413,0.238759473,0.150255054,-0.112028778
1678956322,1043,1678956321,552401000,0.238492668,0.583551884,-0.518873096,-0.202680245,0.748015046,0.378130078,0.5063712,0.049201459,-0.000528342,0.100037985,0.144815922,0.064436808,-0.108453378
1678956322,1044,1678956321,600801000,0.243007913,0.585419953,-0.511788726,-0.200700402,0.745966375,0.382107466,0.507195592,0.077079676,0.021771614,0.09818504,0.194196522,-0.061117992,0.16633144
1678956322,1045,1678956321,633832000,0.245939299,0.583848774,-0.50909853,-0.201718569,0.74391818,0.384958953,0.507643521,0.090225622,-0.004306291,0.095263988,0.131070063,-0.078984827,0.147795171
1678956322,1046,1678956321,667591000,0.248615518,0.58162868,-0.50533855,-0.202861652,0.741861939,0.387810618,0.5080266,0.077016912,-0.04115285,0.100527786,0.147622675,-0.065109551,0.132878751
1678956322,1047,1678956321,699566000,0.251018405,0.578768551,-0.499945164,-0.203867733,0.73982662,0.390381932,0.508622229,0.072805397,-0.018659828,0.112379164,0.0667018,-0.081530467,0.10266313
1678956322,1048,1678956321,734394000,0.253876954,0.578137159,-0.494293183,-0.205965996,0.738206208,0.391627312,0.509173453,0.058597434,-0.024003932,0.120243065,-0.039237708,-0.117377333,0.107892886
1678956322,1049,1678956321,786561000,0.255346358,0.578706563,-0.486026525,-0.210421488,0.736534536,0.391111195,0.510168433,0.031187627,0.003499907,0.126130804,-0.15091221,-0.142756581,0.038752034
1678956322,1050,1678956321,830415000,0.25772652,0.57983315,-0.479364753,-0.214124918,0.735835731,0.388940334,0.511294246,0.020899164,0.024388947,0.125135511,-0.156958818,-0.119676538,0.021844685
1678956322,1051,1678956321,867963000,0.259088129,0.581912398,-0.47349748,-0.213775232,0.736685634,0.386778533,0.511856318,0.033596333,0.083046272,0.175677985,-0.043793216,0.012955181,-0.194949791
1678956322,1052,1678956321,917064000,0.25751406,0.587445736,-0.461378604,-0.212164208,0.740636945,0.378196895,0.513235271,-0.002442436,0.145137519,0.231835589,-0.552476645,0.009571701,-0.222931832
1678956322,1053,1678956321,964130000,0.258379698,0.590714037,-0.447145104,-0.2216966,0.748880804,0.362300932,0.508690774,0.027423155,0.07638181,0.260802358,-0.924855828,0.024870396,0.077056706
