pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
-0.6907448826287518,-0.011954910803881147,-0.013516504438515157,-0.7228733949142383
-0.6907448826287518,-0.011954910803881147,-0.013516504438515157,-0.7228733949142383
-0.690835857747963,-0.011889092459364599,-0.013619371533676795,-0.7227856069308285
-0.690835857747963,-0.011889092459364599,-0.013619371533676795,-0.7227856069308285
-0.6903884223387824,-0.011741290255688626,-0.013682253689350107,-0.723214184382545
-0.6903884223387824,-0.011741290255688626,-0.013682253689350107,-0.723214184382545
-0.6903721331986519,-0.011757401921864669,-0.013697855425483418,-0.7232291848717858
-0.690462320100582,-0.011886709317049762,-0.013349422121887815,-0.7231475474664713
-0.690462320100582,-0.011886709317049762,-0.013349422121887815,-0.7231475474664713
-0.690553031186808,-0.011769878744416894,-0.013273396818300443,-0.7230642363060036
-0.690553031186808,-0.011769878744416894,-0.013273396818300443,-0.7230642363060036
-0.690696107257192,-0.011864731528343074,-0.013813509775689785,-0.7229158521634389
-0.6906631116243336,-0.011605273853328215,-0.013644605325083468,-0.722954854703677
-0.6903711322513676,-0.011611297448288758,-0.013467866973216369,-0.7232368957807902
-0.6907005565766097,-0.01188701745064748,-0.01368849178009313,-0.7229136338430451
-0.6908026333186003,-0.012029324744208862,-0.01357938897403919,-0.7228157954720262
-0.6905757875503614,-0.012057767581360615,-0.013412060130778801,-0.7230350613607757
-0.6905757875503614,-0.012057767581360615,-0.013412060130778801,-0.7230350613607757
-0.6905757875503614,-0.012057767581360615,-0.013412060130778801,-0.7230350613607757
-0.6908419181815895,-0.0116184638294964,-0.013738373571448033,-0.7227819490287507
-0.6905954478659151,-0.011601096630491217,-0.01360977109894833,-0.7230200636919
-0.6905954478659151,-0.011601096630491217,-0.01360977109894833,-0.7230200636919
-0.6905954478659151,-0.011601096630491217,-0.01360977109894833,-0.7230200636919
-0.6905847117318206,-0.011895315058915362,-0.013491280130662553,-0.7230278400817456
-0.6905847117318206,-0.011895315058915362,-0.013491280130662553,-0.7230278400817456
-0.690611297253053,-0.011850104533502572,-0.013447587392287994,-0.7230040029579627
-0.690611297253053,-0.011850104533502572,-0.013447587392287994,-0.7230040029579627
-0.6908078043688152,-0.011528073014717082,-0.013471004382157788,-0.7228210631775325
-0.6910279558339376,-0.011538905971458607,-0.013472113603441221,-0.7226104043234263
-0.6910279558339376,-0.011538905971458607,-0.013472113603441221,-0.7226104043234263
-0.6908657359009457,-0.011550267029187301,-0.013483145973627113,-0.722765110885255
-0.6908657359009457,-0.011550267029187301,-0.013483145973627113,-0.722765110885255
-0.6908657359009457,-0.011550267029187301,-0.013483145973627113,-0.722765110885255
-0.690503109259466,-0.011745279212430432,-0.013394368492779096,-0.7231100177327968
-0.690503109259466,-0.011745279212430432,-0.013394368492779096,-0.7231100177327968
-0.6906112894058556,-0.01185035283674503,-0.013446494867186914,-0.723004018102408
-0.6906112894058556,-0.01185035283674503,-0.013446494867186914,-0.723004018102408
-0.6906112894058556,-0.01185035283674503,-0.013446494867186914,-0.723004018102408
-0.6906112894058556,-0.01185035283674503,-0.013446494867186914,-0.723004018102408
-0.6906112894058556,-0.01185035283674503,-0.013446494867186914,-0.723004018102408
-0.6906112894058556,-0.01185035283674503,-0.013446494867186914,-0.723004018102408
-0.6904107456765913,-0.011649598054907095,-0.013376311852166114,-0.7232001322994875
-0.6904107456765913,-0.011649598054907095,-0.013376311852166114,-0.7232001322994875
-0.6903155189940413,-0.011518532815121885,-0.01338657156685809,-0.7232929173267655
-0.6903061797997873,-0.011468188500560418,-0.01344223160155436,-0.7233015983031651
-0.6905302946181491,-0.011296510222097874,-0.013290713305618585,-0.7230931137996559
-0.6905302946181491,-0.011296510222097874,-0.013290713305618585,-0.7230931137996559
-0.6908246272306463,-0.011402916184440599,-0.013352942270481985,-0.7228091034707091
-0.6907795770372129,-0.011535159979780094,-0.013346616421457595,-0.7228502322120823
-0.6907795770372129,-0.011535159979780094,-0.013346616421457595,-0.7228502322120823
-0.6907795770372129,-0.011535159979780094,-0.013346616421457595,-0.7228502322120823
-0.6906345376652668,-0.011191205851085757,-0.013457171153280474,-0.7229920932010687
-0.6906345376652668,-0.011191205851085757,-0.013457171153280474,-0.7229920932010687
-0.6906345376652668,-0.011191205851085757,-0.013457171153280474,-0.7229920932010687
-0.6905040701756411,-0.011263128449755662,-0.013463923230775823,-0.7231155175778134
-0.6905040701756411,-0.011263128449755662,-0.013463923230775823,-0.7231155175778134
-0.6905040701756411,-0.011263128449755662,-0.013463923230775823,-0.7231155175778134
-0.6905171170273932,-0.01139224488145897,-0.013461684034610451,-0.7231010779233332
-0.69048772368299,-0.011357222832361607,-0.012996453123215422,-0.7231382473912107
-0.69048772368299,-0.011357222832361607,-0.012996453123215422,-0.7231382473912107
-0.6905247792915867,-0.011249588134293375,-0.013011158799544825,-0.7231042545371529
-0.6905247792915867,-0.011249588134293375,-0.013011158799544825,-0.7231042545371529
